s_no,company_name_developer_operator,project_name,status,district,state,latitude,longitude,end_use,expected_announced_capacity_in_kilo_tonnes_per_annum_ktpa,expected_announced_capacity_electrolyser_capacity_mw,expected_announced_capacity_biomass_waste_feedstock_volume_tpd,completion_year_if_completed_expected_completion_date,source,source_table,source_url,retrieved_at_utc
91,nan,Hero Future Energies and Ohmium - Green Hydrogen Partnership,Announced,nan,nan,nan,nan,nan,-,-,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
92,nan,Hero Future Energies Tirupati Hydrogen Plant,Commissioned,Andhra Pradesh,nan,nan,nan,Green Hydrogen,42.6,0.300,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
93,Hero Future Energies Pvt Ltd,Hero Future Energies/ Rockman Industries Tirupati Hydrogen Plant,Commissioned,Tirupati,Andhra Pradesh,13.578586,79.420662,Hydrogen,0.03,0.30,-,2025.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
94,nan,HLC - Himachal Green Hydrogen and Ammonia Plant,Announced,Himachal Pradesh,nan,nan,nan,Green Ammonia,300000,250.000,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
95,nan,HLC Green Energy Kerala Hydrogen Project,Announced,nan,nan,nan,nan,Green Hydrogen,35500,250.000,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
96,Hyderabad Metropolitan Water Supply & Sewerage Board,HMWSSB Amberpet Hydrogen Project,Announced,Hyderabad,Telangana,17.38168871,78.52497112,Hydrogen,-,160.00,-,2028.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
97,nan,HPCL - Andhra Pradesh Green Hydrogen Project,Announced,Andhra Pradesh,nan,nan,nan,Refinery,7300,46.500,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
98,nan,HPCL - Green Hydrogen Plant,Commissioned,Andhra Pradesh - Visakhapatnam,nan,nan,nan,Refinery,370,2.400,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
99,Hindustan Petroleum Corporation Ltd,HPCL Andhra Pradesh Hydrogen Project (Visakh Refinery) - Expansion -II,Announced,Visakhapatnam,Andhra Pradesh,17.689996,83.241517,Hydrogen,7.2,45.66,-,2028.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
100,Hindustan Petroleum Corporation Ltd,HPCL Andhra Pradesh Hydrogen Project (Visakh Refinery) - Expansion -III,Announced,Visakhapatnam,Andhra Pradesh,17.689996,83.241517,Hydrogen,12.2,77.37,-,2030.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
101,Hindustan Petroleum Corporation Ltd/ Ocior Energy,HPCL Andhra Pradesh Hydrogen Project (Visakh Refinery) - I,Announced,Visakhapatnam,Andhra Pradesh,17.689996,83.241517,Hydrogen,5,31.71,-,2028.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
102,HPCL Rajasthan Refinery Limited,HPCL Barmer Refinery Green Hydrogen Project,Announced,Balotra,Rajasthan,25.94364,72.203672,Hydrogen,4.3,27.27,-,2028.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
103,Hindustan Petroleum Corporation Ltd,HPCL Pilot Andhra Pradesh Hydrogen Project (Visakh Refinery),Commissioned,Visakhapatnam,Andhra Pradesh,17.689996,83.241517,Hydrogen,0.37,2.35,-,2024.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
104,Hydreen,Hydreen (HLC Green Energy) Kerala Hydrogen Project,Announced,nan,Kerala,nan,nan,Hydrogen/ Ammonia,-,250.00,-,2027.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
105,Hygenco India Pvt Ltd / Sterlite Technologies Limited,Hygenco (Photon Leap) Aurangabad Hydrogen Project,Commissioned,Chhatrapati Sambhajinagar,Maharashtra,19.835525,75.332661,Hydrogen,0.2,1.27,-,2025.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
106,nan,Hygenco and Jindal Stainless Limited - Green Hydrogen Plant,Announced,Haryana,nan,nan,nan,Steel production,75,0.528,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
107,Hygenco India Pvt Ltd,Hygenco Heartland Ujjain Hydrogen Plant,Commissioned,Ujjain,Madhya Pradesh,23.1765,75.7885,Hydrogen,-,0.14,-,2022.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
108,Hygenco India Pvt Ltd,Hygenco Prayagraj Hydrogen Project,Announced,Prayagraj,Uttar Pradesh,25.350059,81.853748,Hydrogen,200,1268.39,-,2029.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
109,Hygenco India Pvt Ltd,Hygenco TSSEZL Gopalpur Hydrogen Project - Phase I,Under construction,Ganjam,Odisha,19.330165,84.911555,Ammonia,38.65,245.14,-,2027.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
110,Hygenco India Pvt Ltd,Hygenco TSSEZL Gopalpur Hydrogen Project- Phase II,Announced,Ganjam,Odisha,19.330165,84.911555,Ammonia,77.31,490.28,-,2028.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
111,Hygenco India Pvt Ltd,Hygenco TSSEZL Gopalpur Hydrogen Project- Phase II,Announced,Ganjam,Odisha,19.330165,84.911555,Ammonia,78.19,495.87,-,2030.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
112,nan,IH2A - Kochi Green Hydrogen (KGH2) Hub,Announced,Kerala - Kochi,nan,nan,nan,Mobility,22000,150.000,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
113,nan,"IIPE, NTPC: Green Hydrogen Project",Announced,"Simhadri, Andhra Pradesh",nan,nan,nan,GH2 production using desalinated water,376,0.240,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
114,Inox Air Products Pvt Ltd,INOX Air Products Chittorgarh Hydrogen Plant,Commissioned,Chittorgarh,Rajasthan,25.09882511,74.62389385,Hydrogen,0.19,1.20,-,2025.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
115,Inox Air Products Pvt Ltd,INOX Air Products Maharashtra Hydrogen Project,Announced,nan,Maharashtra,nan,nan,Ammonia,88.25,559.68,-,2030.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
116,nan,INOX Air: GH2 for Asahi India Glass Limited,Announced,nan,nan,nan,nan,Green Hydrogen production,190,1.338,-,nan,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
117,IOCL,IOCL Faridabad Green Hydrogen Plant,Commissioned,Faridabad,Haryana,28.38524,77.32944,Hydrogen,0.03,0.17,-,2023.0,NGHM project portal,1,https://nghm.mnre.gov.in/project?language=en,2026-06-19T02:46:56+00:00
