source,fiscal_year,technology_raw,technology,capacity_addition_mw,capacity_addition_gw,retrieved_at_utc,source_url
MNRE year-wise achievement,2016-17,Biomass(Non-bagasse) Cogeneration,Bioenergy,2.2,0.0022,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2017-18,Biomass(Non-bagasse) Cogeneration,Bioenergy,9.5,0.0095,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2018-19,Biomass(Non-bagasse) Cogeneration,Bioenergy,12.0,0.012,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2020-21,Biomass(Non-bagasse) Cogeneration,Bioenergy,97.24,0.0972,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2022-23,Biomass(Non-bagasse) Cogeneration,Bioenergy,42.4,0.0424,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2023-24,Biomass(Non-bagasse) Cogeneration,Bioenergy,107.34,0.1073,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2026,Biomass(Non-bagasse) Cogeneration,Bioenergy,1047.85,1.0478,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2014,Waste to Energy,Bioenergy,90.58,0.0906,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2016-17,Waste to Energy,Bioenergy,23.5,0.0235,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2017-18,Waste to Energy,Bioenergy,24.22,0.0242,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2019-20,Waste to Energy,Bioenergy,9.34,0.0093,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2020-21,Waste to Energy,Bioenergy,21.0,0.021,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2021-22,Waste to Energy,Bioenergy,54.5,0.0545,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2022-23,Waste to Energy,Bioenergy,25.0,0.025,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2023-24,Waste to Energy,Bioenergy,1.6,0.0016,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2024-25,Waste to Energy,Bioenergy,59.6,0.0596,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2026,Waste to Energy,Bioenergy,324.24,0.3242,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2014,Waste to Energy (Off-grid),Bioenergy,139.79,0.1398,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2014-15,Waste to Energy (Off-grid),Bioenergy,9.71,0.0097,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2015-16,Waste to Energy (Off-grid),Bioenergy,5.69,0.0057,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
MNRE year-wise achievement,2016-17,Waste to Energy (Off-grid),Bioenergy,11.77,0.0118,2026-06-13T02:06:01+00:00,https://mnre.gov.in/en/year-wise-achievement/
